,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
00:00 - 00:00,Veris," 000.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:00 - 00:00,Cekis,"001.609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:00 - 00:15,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
00:00 - 00:15,Cekis,"001.609","001.423","001.361","001.436","001.904","001.236","001.285","000.940","001.116","001.053","000.678","000.746","000.764","000.948","001.145","001.351","001.393","001.145","000.906","000.875","000.950","001.054","001.028","000.927","001.306","000.826","000.627","000.606","000.632","000.679","000.490",
00:00 - 00:30,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
00:00 - 00:30,Cekis,"001.609","001.412","001.354","001.394","001.903","001.237","001.277","000.940","001.116","001.031","000.681","000.746","000.765","000.932","001.145","001.334","001.373","001.144","000.907","000.873","000.936","001.052","001.005","000.917","001.237","000.827","000.628","000.597","000.605","000.656","000.500",
00:00 - 00:45,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
00:00 - 00:45,Cekis,"001.606","001.394","001.334","001.375","001.903","001.236","001.273","000.941","001.115","001.033","000.688","000.709","000.765","000.932","001.144","001.335","001.372","001.145","000.950","000.872","000.935","001.051","001.006","000.916","001.243","000.828","000.629","000.598","000.606","000.656","000.496",
01:00 - 00:00,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
01:00 - 00:00,Cekis,"001.597","001.395","001.333","001.371","001.903","001.235","001.254","000.941","001.116","001.062","000.688","000.700","000.765","000.932","001.143","001.335","001.372","001.131","000.966","000.865","000.934","001.051","001.006","000.905","001.244","000.828","000.629","000.597","000.605","000.656","000.482",
01:00 - 00:15,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
01:00 - 00:15,Cekis,"001.591","001.381","001.299","001.334","001.902","001.235","000.931","000.940","001.088","001.044","000.687","000.714","000.743","000.933","001.119","001.335","001.371","001.107","000.965","000.862","000.924","001.051","001.006","000.869","001.245","000.827","000.647","000.597","000.605","000.692","000.482",
01:00 - 00:30,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
