,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
00:00-01:00,Veris,6.421,5.624,5.382,5.576,7.613,4.944,5.089,3.762,4.463,4.179,2.735,2.901,3.059,3.744,4.577,5.355,5.51,4.565,3.729,3.485,3.755,4.208,4.045,3.665,5.03,3.309,2.513,2.398,2.448,2.647,1.968,
00:00-01:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
01:00-02:00,Veris,6.312,5.488,5.175,5.337,6.919,4.93,4.436,3.76,4.34,4.173,2.729,2.831,2.962,3.708,4.404,5.339,5.373,4.422,3.743,3.448,3.676,4.204,3.971,3.475,4.98,3.31,2.571,2.39,2.392,2.771,1.937,
01:00-02:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
02:00-03:00,Veris,6.17,5.361,4.999,5.336,6.962,4.46,4.679,3.613,4.322,4.171,2.652,2.797,2.79,3.621,4.38,5.339,5.305,4.13,3.69,3.247,3.516,4.162,3.775,3.29,4.805,3.278,2.555,2.392,2.329,2.768,1.943,
02:00-03:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
03:00-04:00,Veris,6.066,5.234,4.857,5.334,7.01,4.544,4.491,3.463,4.155,3.928,2.594,2.659,2.775,3.598,4.372,5.337,4.658,4.093,3.616,3.215,3.51,3.957,3.774,3.252,4.018,3.21,2.529,2.388,2.4,2.406,1.939,
03:00-04:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
04:00-05:00,Veris,5.965,5.079,4.821,5.151,7.004,4.535,4.289,3.467,4.076,3.917,2.528,2.604,2.764,3.196,4.334,5.327,4.835,3.871,3.551,3.238,3.241,3.959,3.525,3.253,3.973,2.98,2.526,2.385,2.399,2.673,1.828,
04:00-05:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
