,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
00:00-01:00,Veris,3.572,3.018,2.695,2.506,3.974,2.002,1.822,1.407,1.467,1.797,1.038,2.009,1.427,1.412,1.416,1.397,1.624,1.404,0.811,0.808,0.926,1.072,1.01,1.213,1.37,0.904,0.705,0.602,0.504,0.911,0.303,
00:00-01:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
01:00-02:00,Veris,3.315,2.97,2.507,2.506,3.511,2.003,1.823,1.4,1.42,1.486,1.043,1.72,1.514,1.398,1.399,1.405,1.586,1.383,0.805,0.809,0.809,1.003,1.008,1.206,1.368,0.902,0.701,0.507,0.506,0.91,0.389,
01:00-02:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
02:00-03:00,Veris,3.317,2.917,2.499,2.506,3.309,2.004,1.825,1.311,1.454,1.563,1.198,1.598,1.513,1.403,1.399,1.512,1.531,1.213,0.85,0.811,0.81,1.002,1.009,1.197,1.359,0.902,0.602,0.514,0.513,0.88,0.492,
02:00-03:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
03:00-04:00,Veris,3.316,2.898,2.239,2.504,3.108,1.996,1.834,1.191,1.462,1.785,1.197,1.599,1.411,1.256,1.404,1.603,1.469,1.213,1.001,0.895,0.808,1.003,1.008,0.997,1.308,0.901,0.604,0.605,0.513,0.503,0.492,
03:00-04:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
04:00-05:00,Veris,3.018,2.799,2.118,2.505,3.112,1.995,1.833,1.357,1.464,1.906,1.199,1.519,1.395,1.209,1.412,1.602,1.408,1.214,1.008,0.904,0.888,1.001,1.007,0.997,0.833,0.9,0.605,0.603,0.514,0.503,0.492,
04:00-05:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
05:00-06:00,Veris,2.997,2.607,2.338,2.502,3.112,1.991,1.736,1.408,1.462,1.902,1.198,1.504,1.205,1.21,1.411,1.602,1.408,1.213,1.11,0.904,0.891,1.0,1.008,0.996,0.804,0.898,0.604,0.602,0.513,0.502,0.492,
05:00-06:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
06:00-07:00,Veris,2.582,2.597,2.359,2.486,3.1,1.996,1.731,1.41,1.461,1.902,1.199,1.501,1.108,1.211,1.411,1.601,1.398,1.192,1.11,0.904,0.898,0.882,1.01,0.979,0.803,0.9,0.605,0.603,0.515,0.504,0.492,
06:00-07:00,Cekis,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
07:00-08:00,Veris,3.543,2.712,2.289,2.306,2.993,2.003,1.73,1.41,1.456,1.734,1.2,1.501,1.112,1.213,1.3,1.416,1.301,0.91,1.11,0.905,0.997,1.01,1.01,0.807,0.805,0.899,0.597,0.605,0.515,0.505,0.492,
07:00-08:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
08:00-09:00,Veris,3.131,2.572,2.301,2.308,2.585,2.004,1.702,1.412,1.456,1.495,1.193,1.499,1.223,1.251,1.415,1.407,1.302,0.916,1.11,0.85,1.0,1.012,0.928,0.885,0.805,0.9,0.504,0.602,0.516,0.504,0.493,
08:00-09:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
09:00-10:00,Veris,2.895,2.496,2.301,2.068,2.609,1.985,1.74,1.413,1.437,1.416,1.02,1.466,1.301,1.294,1.415,1.414,1.294,1.011,1.111,0.844,0.987,1.011,0.912,0.939,0.807,0.798,0.504,0.417,0.514,0.513,0.494,
09:00-10:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10:00-11:00,Veris,2.692,2.42,2.301,2.094,2.714,1.525,1.607,1.412,1.406,1.463,1.015,1.111,1.3,1.219,1.415,1.413,1.112,0.872,0.822,0.843,0.806,1.011,0.912,1.004,0.877,0.607,0.506,0.404,0.515,0.603,0.482,
10:00-11:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11:00-12:00,Veris,2.768,2.303,2.298,2.391,2.816,1.798,1.61,1.412,1.415,1.041,1.014,1.112,1.244,1.404,1.415,1.468,1.114,1.104,0.799,0.83,0.807,1.01,0.673,0.915,0.891,0.619,0.507,0.405,0.516,0.515,0.305,
11:00-12:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12:00-13:00,Veris,3.058,2.378,2.386,2.703,2.78,1.8,1.609,1.41,1.592,1.502,1.11,1.319,1.234,1.458,1.412,1.514,1.229,1.103,0.8,0.804,0.807,1.01,0.771,0.823,0.893,0.774,0.511,0.405,0.513,0.503,0.304,
12:00-13:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,
